source,target
21068,251049
128417,19689
140486,376297
25668,6458
162064,25122
208687,210702
130535,21068
25865,264287
21000,43389
14382,156461
100124,12390
100124,38437
14634,250080
21258,99509
138498,264287
249467,4124
249467,264287
27945,32537
101117,8961
125159,222639
296773,36860
19689,86373
40360,6384
156461,7722
144143,84768
17116,9413
26641,4124
282753,6386
140692,40768
2590,32159
21000,4124
14382,282753
101117,15351
16707,93881
271504,54379
13802,282753
156461,21258
23939,251049
222639,24547
21015,55195
100124,24547
191816,264287
103369,21171
306957,6386
156461,157722
19758,26641
26641,54379
21015,43389
21015,264287
40052,5209
21000,283530
21000,7722
100124,222639
24547,38106
32535,5289
16707,379282
125159,82442
128417,93881
1763,68749
251049,6386
210702,217055
28207,283530
21000,24106
43002,6458
24547,283530
197366,282753
39320,79891
210248,6458
1763,222639
13802,210702
17116,271504
42788,54404
154972,249467
28207,35907
104792,39599
25668,270001
264287,54379
38437,5963
38437,38441
21000,26632
2623481,40768
24547,264287
2187,32159
21258,24547
217055,31921
27945,5209
135790,250080
251049,283530
144143,53741
23939,68749
34789,38106
125290,55195
264287,58448
157722,197366
2590,54379
1445,157722
36860,54379
21258,5720
160806,193836
140486,247365
21171,39599
264287,3169
130535,264287
2623481,5289
14382,270001
6386,89176
21258,26641
103369,138498
130916,56789
19689,43389
1763,250080
251049,6458
31921,40052
13802,21000
13802,147617
156461,50988
144143,5963
283530,89176
222639,38175
21000,40052
379282,5289
138498,32693
125159,306957
19689,39320
19689,34789
24106,5720
31921,5865
227727,94486
28862,379282
264287,99509
1445,32693
1445,68749
102675,2590
32537,54379
12390,93881
197366,31921
217055,376297
125885,24547
1763,7722
251049,296773
251049,9684
31921,99202
13802,376297
129936,1763
129936,250080
38175,4775
4124,4775
193307,247365
157722,19689
2590,37145
2623481,31921
365491,63277
154486,89176
120088,125290
249467,251049
210702,247365
21577,250080
216523,43389
34789,39320
192899,19381
32537,84768
121421,1763
100124,26641
24547,26134
205091,247365
20104,27945
19689,2623481
110793,1763
1763,40768
129936,43389
19758,376297
282753,43389
130535,68749
14382,56789
18755,22795
24547,282753
191816,283530
19689,28207
110793,21015
31921,54379
26641,55195
68749,93881
21000,39320
32273,32537
197366,283530
138498,68749
145486,3169
19689,232693
251049,56789
140486,282753
28207,3169
104792,4775
21015,9684
282753,32537
15351,21068
208687,264287
25865,40768
108673,250080
43389,6386
24547,251049
197366,32537
154486,26641
110793,251049
1763,40052
156461,27945
144143,1763
144143,28207
17116,282753
34789,5209
192899,21068
192899,68749
125290,43389
2590,39320
250080,34789
162064,33976
208687,68749
15539,21015
102675,199801
14382,32693
43389,5963
395190,5720
22795,264294
138498,28686
103369,19689
135790,197366
110793,201802
1763,19689
3169,43389
156461,228957
192899,208687
228104,54404
151269,192899
40052,5289
40052,4124
21000,2623481
21000,34789
21000,25540
102675,249986
154486,16707
19689,5209
24106,32535
156461,38175
17116,18217
17116,228104
58448,84768
757,99509
140486,1445
140486,26641
283530,379282
25668,32537
250080,251049
208687,43002
107059,129936
13624,154486
120088,208687
201802,282753
191816,21171
205091,3169
144143,5865
144143,26641
23939,26641
118258,21068
216523,26641
140692,19689
130535,21000
1445,247365
21000,6458
36860,38175
159211,264287
121421,14382
138498,296773
5209,89176
125885,379282
251049,379282
156461,43389
283530,33832
192899,249986
40768,4124
21015,28207
21000,99202
395190,58456
89176,94416
2187,2590
191816,21000
32535,94486
194463,296773
13802,39320
144143,264287
19758,4124
26641,270001
234445,25865
2590,3169
21000,35907
11350,21171
270001,43389
43389,94416
201802,27945
125159,21000
20104,47969
19689,376297
1763,192899
129936,4124
19758,6386
28207,43389
138498,406563
145486,250080
271504,282753
125159,2988
21068,2623481
210248,43002
3169,61703
31921,4897
154486,19689
379282,38441
138498,192899
103369,31921
27945,99509
125159,14382
264294,379282
19758,34789
282753,35907
250080,84768
250080,4124
2623481,38437
100124,270001
24547,25668
138498,379282
5209,9052
16707,5865
21068,21258
139523,21068
21015,247365
264287,99202
264287,282753
140692,197366
2590,38437
21000,5865
21000,38175
21000,234445
197366,296773
154486,379282
125159,264287
21068,93881
