source,target
234445,251049
15351,250080
228104,40768
140692,379282
147617,19689
208687,2834313
197366,53741
1763,283530
1763,264287
24106,26641
13802,19689
140486,210702
140486,31921
38175,40768
25668,38437
130535,87812
1445,156461
24547,33832
191816,247365
162427,93881
27945,55195
19689,84768
1763,24106
1763,38437
156461,282753
21171,4124
228104,4775
25668,31921
25668,38106
208687,276945
130535,54379
197366,24106
379282,6458
103369,135790
128417,6458
210702,28207
104792,29001
140692,32537
140692,154486
140692,19758
6458,93881
100124,34789
43389,5289
210702,251049
156461,216523
104792,38175
38441,94486
125290,282753
21000,3169
21000,38441
10725,21000
197366,25865
249467,40768
20104,232693
294,38175
251049,55195
17116,40052
17116,27945
129936,177674
264287,5963
108673,40768
154486,54044
210702,3169
210702,250080
13802,264287
156461,4897
140486,25668
21015,7722
140692,250080
21000,216523
10725,3169
13624,36860
121421,217055
14382,228104
39599,43389
32273,5865
197366,82442
197366,68749
191816,211355
306957,50988
1763,201802
13802,4124
156461,26641
144143,156461
234445,296773
25668,28207
125290,197366
157722,32693
250080,87812
250080,86373
250080,376297
38106,40768
36860,4775
159211,26641
24547,34789
379282,5600
191816,197366
247365,26641
16707,283530
140486,21015
192899,32159
250080,32693
249986,32693
249986,250080
36860,40052
14382,40768
100124,103369
191816,251049
5289,5720
217055,56789
145486,43389
1763,376297
17116,21000
222639,250080
34789,6458
19381,55195
157722,21068
36860,6458
100124,3169
323922,448993
138498,4124
135790,40768
128417,5963
19689,210702
376297,55195
110793,89176
140486,21068
26641,6458
15351,32159
28862,5289
140692,84768
100124,32159
5600,6458
379282,50988
306957,379282
125885,4775
56789,84768
210702,9413
144143,5720
38175,9413
228957,39599
40768,6458
21015,31921
282753,5600
19381,32693
130535,162427
21000,379282
21000,5209
32537,5865
39599,40768
24547,89176
12390,83131
103369,83131
103369,251049
194463,249467
125885,5720
24106,25668
53741,82442
282753,40768
264287,27945
165703,216523
102675,27945
14382,84768
103369,16291
125159,197366
21068,43389
19689,251049
222639,26641
25540,283530
250080,99202
100124,93881
270001,27945
197366,376297
142957,7722
190107,21258
264294,43389
144143,21015
104792,247365
264287,5720
140692,251049
249986,55195
2623481,32537
2623481,3169
21258,222639
125159,34789
19689,40052
210702,89176
210702,39320
144143,50988
192899,251049
151269,197366
25865,58448
21000,53741
36860,38437
197366,99202
20104,4897
1763,282753
210702,211355
144143,55195
21015,23939
21015,25668
282753,376297
125290,40768
140692,208687
38106,89176
441,50988
197366,27945
201802,32537
103369,197366
247365,8961
247365,93881
19689,7722
19689,38106
158208,43002
158208,290760
23939,43389
140486,1763
26641,3169
26632,93881
208687,99202
21000,270001
24547,54379
154486,68749
101117,68749
26829,4897
271504,4124
194463,208687
210702,282753
127501,26641
26641,31921
28207,38441
282753,36860
15351,21000
208687,22992
1445,55195
10725,13802
121421,264287
100124,33832
8961,9211
43389,7722
154486,283530
201802,87812
167843,18755
55195,84768
250742,264287
205091,208687
205091,282753
1763,31921
251049,5963
192899,290760
21000,40768
151331,250080
216296,216523
249467,36860
271504,55195
5720,86373
125159,251049
21068,26829
129936,251049
26632,32273
21015,32537
234445,55195
38437,43389
102675,205091
2623481,39320
197366,5209
89176,99202
379282,43389
32693,99509
135790,1763
19689,5720
1763,25668
251049,290760
686372,99509
21171,38437
222639,55195
147617,86373
21000,94416
21000,376297
21000,31921
2623481,68749
121421,197366
14382,31921
197366,21015
101117,210248
125159,19758
210702,24547
24106,283530
13802,5289
156461,210702
140486,14634
154972,26641
26641,40768
34789,93881
25668,93881
208687,584493
130535,19689
102675,84768
102675,43389
32537,32693
290760,32693
16707,197366
168159,171072
21068,264287
210702,84768
31921,379282
140486,2623481
283215,9211
264287,36860
2590,83131
102675,2187
191816,208687
191816,2623481
125159,1763
110793,24106
23939,5720
19758,32535
283530,4124
26641,39320
130535,151331
249986,372852
86373,89176
27945,5963
194463,50485
251049,5209
251049,42867
251049,50988
210702,504779
156461,271504
283530,5289
25668,32273
250080,282753
147617,232693
38106,58448
130535,250080
21000,249467
211355,264287
10725,2988
301146,5963
21258,216523
247365,40768
145486,31921
21068,99509
110793,140692
251049,94416
21577,5209
283530,99202
250080,2623481
130535,24547
21000,33832
100124,125290
270001,31921
197366,38437
138498,36860
101117,121421
127501,197366
127501,216523
104792,159211
282753,38175
22790,99202
38106,84768
208687,9105
24547,38437
201802,43389
201802,28207
101117,151331
101117,21068
156461,5963
144143,38437
40052,40768
21000,36860
108673,251049
121421,21000
121421,36860
100124,1763
43389,5209
12390,21171
217055,250080
249467,38106
1763,21015
156461,31921
144143,159211
144143,89176
144143,250080
34789,89176
15351,192899
264287,59325
